"","EducHL","SA0100","LogNormal Mean","LogNormal StD"
"1",0,"IE",1,0.0791158401433763
"2",0,"PL",0.908068506813218,0.076975507823903
"3",1,"IE",1.05786939323539,0.0815297971239174
"4",1,"PL",0.958839110444055,0.0713529060432046
